rank,name,worldwide_box_office,movies,average
584,Wuershan,250549119,2,125274560
585,Peter Howitt,250484531,4,62621133
586,Lee Daniels,249776009,5,49955202
587,Eduardo Sanchez,248375131,6,41395855
588,Daniel Myrick,248300000,2,124150000
589,Anthony Leondis,247578189,2,123789095
590,Iain Softley,247489350,8,30936169
591,Bora Dagtekin,247389655,3,82463218
592,Sofia Coppola,247028603,7,35289800
593,Simon Kinberg,246356895,2,123178448
594,Scott Hicks,246334284,7,35190612
595,Dexter Fletcher,246087562,5,49217512
596,Li Wei,245759167,3,81919722
597,Ben Falcone,244319773,5,48863955
598,Teng Cheng,243870163,1,243870163
599,Tommy Wirkola,243133285,8,30391661
600,Da Peng,238564588,2,119282294
601,Ronny Yu,238351138,4,59587785
602,Tom Vaughan,238350483,5,47670097
603,Frank Miller,238184948,3,79394983
604,Klay Hall,238059569,1,238059569
605,Hamilton Luske,237601581,3,79200527
606,Russell Mulcahy,237337364,12,19778114
607,Hayden Schlossberg,236799211,1,236799211
608,Jon Hurwitz,236799211,1,236799211
609,David Cronenberg,235792940,19,12410155
610,James Gray,235174339,9,26130482
611,Steve Bendelack,234981342,1,234981342
612,Ric Roman Waugh,234391555,6,39065259
613,David S. Goyer,233103892,4,58275973
614,Jeannot Szwarc,232906411,6,38817735
615,Michael Lehmann,230411908,9,25601323
616,Derek Tsang,230067604,1,230067604
617,Martin McDonagh,229049561,3,76349854
618,Gary Dauberman,228517113,2,114258557
619,Gavin O’Connor,227775088,7,32539298
620,Robert Benton,227025100,7,32432157
621,Dean Devlin,225577647,2,112788824
622,Alfred Hitchcock,223598909,31,7212868
623,Oliver Parker,222817933,6,37136322
624,Jason Moore,222075007,3,74025002
625,Han Yan,221385662,3,73795221
626,Hideo Nakata,221293586,13,17022584
627,John Frankenheimer,220705100,20,11035255
628,Stephen Anderson,220698326,2,110349163
629,Andrew Bergman,220546898,6,36757816
630,Gary Shore,220293115,2,110146558
631,Ted Kotcheff,220127096,10,22012710
632,Jonathan Goldstein,219684584,3,73228195
633,John Francis Daley,219684584,3,73228195
634,Philip Kaufman,217829667,10,21782967
635,Danny DeVito,217014915,6,36169153
636,Babak Najafi,216903624,4,54225906
637,Gary Rydstrom,214981252,3,71660417
638,Da-Mo Peng,213949747,1,213949747
639,Fei Yan,213949747,1,213949747
640,Steven Caple Jr,213635278,2,106817639
641,David Lam,212135345,5,42427069
642,Lu Yang,212093400,2,106046700
643,Spike Jonze,212081794,5,42416359
644,Jeff Wadlow,211910019,6,35318337
645,Kevin Greutert,211680368,6,35280061
646,David Koepp,210525719,7,30075103
647,Michael Sucsy,210444191,3,70148064
648,Aaron Seltzer,209839078,7,29977011
649,Peter Yates,209721612,15,13981441
650,Rene Liu,209221328,1,209221328
651,Ben Stassen,208668079,7,29809726
652,Thea Sharrock,208265198,2,104132599
653,George A. Romero,207303458,16,12956466
654,Clark Johnson,207231259,3,69077086
655,Michael Spierig,207015925,4,51753981
656,Peter Spierig,207015925,4,51753981
657,Philippe de Chauveron,206927114,4,51731779
658,Rob Zombie,206741088,9,22971232
659,Ryan Murphy,206598789,3,68866263
660,Jim Sheridan,205830534,9,22870059
661,Dwight H. Little,205555302,11,18686846
662,Brad Lewis,205312666,1,205312666
663,Kabir Khan,205253144,5,41050629
664,Burr Steers,204591290,3,68197097
665,David McNally,204475056,2,102237528
666,Toni Myers,203054511,3,67684837
667,Mike Flanagan,202749833,7,28964262
668,Kevin MacDonald,202691867,11,18426533
669,Cathy Yan,201926139,3,67308713
670,Rajkumar Hirani,200659909,3,66886636
671,Ava Duvernay,200415830,5,40083166
